"","id","speaker_id","utterance_order","transcript_id","corpus_id","gloss","num_tokens","stem","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_id","target_child_age","target_child_name","target_child_sex","type","media_end","media_start","media_unit","collection_id","collection_name","num_morphemes","language","corpus_name"
"1",3374182,5041,3,8383,75,"oh you have because of your",6,"oh you have because of your","co pro:per v conj prep det:poss","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","interruption question",NA,NA,NA,3,"Eng-NA",6,"eng","PetersonMcCabe"
"2",3374207,5041,5,8383,75,"B_B shot",2,"B_B shot","n:prop n","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",2,"eng","PetersonMcCabe"
"3",3374251,5041,8,8383,75,"you got that yesterday",4,"you get that yesterday","pro:per v pro:rel adv:tem","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",5,"eng","PetersonMcCabe"
"4",3374283,5041,11,8383,75,"what happened",2,"what happen","pro:int v","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",3,"eng","PetersonMcCabe"
"5",3374338,5041,14,8383,75,"uhhuh",1,"uhhuh","co","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
"6",3374406,5041,18,8383,75,"uhhuh",1,"uhhuh","co","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
"7",3374472,5041,22,8383,75,"and it was pouring blood",5,"and it be pour blood","coord pro:per aux part n","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",8,"eng","PetersonMcCabe"
"8",3374483,5041,23,8383,75,"oh",1,"oh","co","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
"9",3374516,5041,25,8383,75,"you covered your face up",5,"you cover your face up","pro:per v det:poss n adv","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",6,"eng","PetersonMcCabe"
"10",3374560,5041,28,8383,75,"oh",1,"oh","co","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
"11",3374574,5041,30,8383,75,"you've been to the doctor's office before",7,"you be to the doctor office before","pro:per cop prep det:art n n adv","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",10,"eng","PetersonMcCabe"
"12",3374600,5041,32,8383,75,"but you",2,"but you","conj pro:per","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","PetersonMcCabe"
"13",3374631,5041,34,8383,75,"you you got to go",5,"you get to go","pro:per v inf v","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",5,"eng","PetersonMcCabe"
"14",3374650,5041,36,8383,75,"yeah",1,"yeah","co","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
"15",3374710,5041,38,8383,75,"the what",2,"the what","det:art pro:int","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",2,"eng","PetersonMcCabe"
"16",3374731,5041,40,8383,75,"a rat",2,"a rat","det:art n","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",2,"eng","PetersonMcCabe"
"17",3374760,5041,42,8383,75,"a rat bit you",4,"a rat bit you","det:art n n pro:per","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",4,"eng","PetersonMcCabe"
"18",3374784,5041,44,8383,75,"uh",1,"","","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",NA,"eng","PetersonMcCabe"
"19",3374804,5041,46,8383,75,"yeah",1,"yeah","co","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
"20",3374853,5041,49,8383,75,"uhhuh",1,"uhhuh","co","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
"21",3374896,5041,52,8383,75,"have you ever been to the hospital",7,"have you ever be to the hospital","aux pro:per adv cop prep det:art n","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",8,"eng","PetersonMcCabe"
"22",3374916,5041,53,8383,75,"where candy stripers are",4,"where candy stripe be","adv:int n n cop","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",8,"eng","PetersonMcCabe"
"23",3374956,5041,56,8383,75,"you were in the hospital",5,"you be in the hospital","pro:per cop prep det:art n","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",6,"eng","PetersonMcCabe"
"24",3374999,5041,59,8383,75,"what happened",2,"what happen","pro:int v","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",3,"eng","PetersonMcCabe"
"25",3375024,5041,61,8383,75,"you had_to in to surgery",5,"you had_to in to surgery","pro:per mod:aux adv inf n","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",5,"eng","PetersonMcCabe"
"26",3375042,5041,62,8383,75,"and",1,"and","coord","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
"27",3375067,5041,64,8383,75,"you swallowed a nail",4,"you swallow a nail","pro:per v det:art n","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",5,"eng","PetersonMcCabe"
"28",3375089,5041,66,8383,75,"uhhuh",1,"uhhuh","co","INV",NA,"Investigator",5040,102.00209449886,"Mary","female","question",NA,NA,NA,3,"Eng-NA",1,"eng","PetersonMcCabe"
