"","id","speaker_id","utterance_order","transcript_id","corpus_id","gloss","num_tokens","stem","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_id","target_child_age","target_child_name","target_child_sex","type","media_end","media_start","media_unit","collection_id","collection_name","num_morphemes","language","corpus_name"
"1",3087645,4858,1,6947,68,"just like your book at home",6,"just like your book at home","adv prep det:poss n prep n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",8.505,6.402,"s",3,"Eng-NA",6,"eng","Rollins"
"2",3087674,4858,2,6947,68,"do you want to look at that it says look",10,"do you want to look at that it say look","mod pro:per v inf v prep pro:dem pro:per v co","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",10.853,8.506,"s",3,"Eng-NA",11,"eng","Rollins"
"3",3087710,4858,3,6947,68,"see",1,"see","v","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",12.584,10.853,"s",3,"Eng-NA",1,"eng","Rollins"
"4",3087716,4858,4,6947,68,"there's a face with glasses",5,"there a face with glass","pro:exist det:art n prep n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",15.11,12.584,"s",3,"Eng-NA",7,"eng","Rollins"
"5",3087741,4858,5,6947,68,"ahhah",1,"ahhah","co","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",15.615,15.11,"s",3,"Eng-NA",1,"eng","Rollins"
"6",3087760,4858,6,6947,68,"look there's Pooh_Bear",3,"look there Pooh_Bear","co pro:exist n:prop","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",17.524,15.688,"s",3,"Eng-NA",4,"eng","Rollins"
"7",3087783,4858,7,6947,68,"there's a baby bear with his bottle",7,"there a baby bear with his bottle","pro:exist det:art n n prep det:poss n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",19.852,17.524,"s",3,"Eng-NA",8,"eng","Rollins"
"8",3087823,4858,9,6947,68,"who's that",2,"who that","pro:int pro:dem","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",23.307,19.852,"s",3,"Eng-NA",3,"eng","Rollins"
"9",3087841,4858,10,6947,68,"is that Chi",3,"be that Chi","cop pro:rel n:prop","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",25.991,23.307,"s",3,"Eng-NA",4,"eng","Rollins"
"10",3087857,4858,11,6947,68,"ahhah I think I see Chi",6,"ahhah I think I see Chi","co pro:sub v pro:sub v n:prop","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",NA,NA,NA,3,"Eng-NA",6,"eng","Rollins"
"11",3087892,4858,12,6947,68,"there he is",3,"there he be","adv pro:sub cop","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",26.72,26,"s",3,"Eng-NA",4,"eng","Rollins"
"12",3087913,4858,13,6947,68,"there he is",3,"there he be","adv pro:sub cop","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",27.326,26.721,"s",3,"Eng-NA",4,"eng","Rollins"
"13",3087937,4858,14,6947,68,"yeah yeah there he is",5,"yeah yeah there he be","co co adv pro:sub cop","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",28.494,27.325,"s",3,"Eng-NA",6,"eng","Rollins"
"14",3087974,4858,15,6947,68,"",0,"","","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",31.04,28.84,"s",3,"Eng-NA",NA,"eng","Rollins"
"15",3087986,4858,16,6947,68,"you see yourself",3,"you see yourself","pro:per v pro:refl","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",32.472,31.04,"s",3,"Eng-NA",3,"eng","Rollins"
"16",3088003,4858,17,6947,68,"that's my pretty baby boy",5,"that my pretty baby boy","pro:dem det:poss adj n n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",34.226,32.472,"s",3,"Eng-NA",6,"eng","Rollins"
"17",3088024,4858,18,6947,68,"I'm sorry that's handsome baby boy",6,"I sorry that handsome baby boy","pro:sub adj pro:dem adj n n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",37.628,34.226,"s",3,"Eng-NA",8,"eng","Rollins"
"18",3088055,4858,19,6947,68,"you like that",3,"you like that","pro:per v pro:dem","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",42.44,37.628,"s",3,"Eng-NA",3,"eng","Rollins"
"19",3088075,4858,21,6947,68,"yeah",1,"yeah","co","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","Rollins"
"20",3088091,4858,22,6947,68,"look there's a bunny+rabbit",4,"look there a","co pro:exist det:art","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",45.344,42.44,"s",3,"Eng-NA",4,"eng","Rollins"
"21",3088115,4858,23,6947,68,"see",1,"see","v","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",48.481,46.51,"s",3,"Eng-NA",1,"eng","Rollins"
"22",3088128,4858,24,6947,68,"there's kitty+cat",2,"there","pro:exist","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",49.731,48.48,"s",3,"Eng-NA",2,"eng","Rollins"
"23",3088139,4858,25,6947,68,"oh",1,"oh","co","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",52.462,49.731,"s",3,"Eng-NA",1,"eng","Rollins"
"24",3088150,4858,26,6947,68,"kitty+cat",1,"","","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",53.409,52.462,"s",3,"Eng-NA",NA,"eng","Rollins"
"25",3088165,4858,27,6947,68,"and who's this it's a baby",6,"and who this it a baby","coord pro:int pro:dem pro:per det:art n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",55.327,53.408,"s",3,"Eng-NA",8,"eng","Rollins"
"26",3088190,4858,28,6947,68,"it's a baby",3,"it a baby","pro:per det:art n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",57.272,55.622,"s",3,"Eng-NA",4,"eng","Rollins"
"27",3088218,4858,29,6947,68,"yeah",1,"yeah","co","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",60.29,57.272,"s",3,"Eng-NA",1,"eng","Rollins"
"28",3088230,4858,30,6947,68,"want to look at that",5,"want to look at that","v inf v prep pro:dem","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",63.695,61.559,"s",3,"Eng-NA",5,"eng","Rollins"
"29",3088253,4858,31,6947,68,"oh",1,"oh","co","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","Rollins"
"30",3088265,4858,32,6947,68,"does it fit your mouth",5,"do it fit your mouth","mod pro:per v det:poss n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",66.474,63.696,"s",3,"Eng-NA",7,"eng","Rollins"
"31",3088292,4858,33,6947,68,"let's see what else there is in here",8,"let see what else there be in here","v v pro:int post pro:exist cop prep adv","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",68.701,66.474,"s",3,"Eng-NA",10,"eng","Rollins"
"32",3088337,4858,34,6947,68,"There's a",2,"There a","n:prop det:art","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","trail off",NA,NA,NA,3,"Eng-NA",3,"eng","Rollins"
"33",3088355,4858,35,6947,68,"a pink pig",3,"a pink pig","det:art adj n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",74.297,71.07,"s",3,"Eng-NA",3,"eng","Rollins"
"34",3088381,4858,36,6947,68,"oink",1,"oink","on","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",77.376,74.298,"s",3,"Eng-NA",1,"eng","Rollins"
"35",3088391,4858,37,6947,68,"you like that book it's very red",7,"you like that book it very red","pro:per v pro:dem n pro:per adv adj","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",80.712,77.376,"s",3,"Eng-NA",8,"eng","Rollins"
"36",3088437,4858,38,6947,68,"red is a good thing isn't it",7,"red be a good thing be it","adj cop det:art adj n cop pro:per","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",82.682,80.513,"s",3,"Eng-NA",10,"eng","Rollins"
"37",3088477,4858,39,6947,68,"oink",1,"oink","on","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",96.561,82.682,"s",3,"Eng-NA",1,"eng","Rollins"
"38",3088485,4858,40,6947,68,"oink",1,"oink","on","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","Rollins"
"39",3088496,4858,41,6947,68,"oink",1,"oink","on","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","Rollins"
"40",3088510,4858,42,6947,68,"oink",1,"oink","on","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","Rollins"
"41",3088529,4858,43,6947,68,"oink",1,"oink","on","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","Rollins"
"42",3088538,4858,44,6947,68,"",0,"","","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",98.071,96.562,"s",3,"Eng-NA",NA,"eng","Rollins"
"43",3088547,4858,45,6947,68,"oink",1,"oink","on","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",99.131,98.071,"s",3,"Eng-NA",1,"eng","Rollins"
"44",3088557,4858,46,6947,68,"you want your book back don't you",7,"you want your book back do you","pro:per v det:poss n adv mod pro:per","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",102.768,99.332,"s",3,"Eng-NA",8,"eng","Rollins"
"45",3088600,4858,47,6947,68,"let's see do you want to see who this is",10,"let see do you want to see who this be","v v v pro:per v inf v pro:int pro:dem cop","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",104.704,102.769,"s",3,"Eng-NA",12,"eng","Rollins"
"46",3088668,4858,48,6947,68,"this is Big_Bird",3,"this be Big_Bird","pro:dem cop n:prop","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",106.305,104.704,"s",3,"Eng-NA",4,"eng","Rollins"
"47",3088682,4858,49,6947,68,"",0,"","","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",111.343,106.305,"s",3,"Eng-NA",NA,"eng","Rollins"
"48",3088695,4858,50,6947,68,"enough with that",3,"enough with that","adv prep pro:dem","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",113.11,111.343,"s",3,"Eng-NA",3,"eng","Rollins"
"49",3088716,4858,51,6947,68,"can you read your book again you like the book",10,"can you read your book again you like the book","mod pro:per v det:poss n adv pro:per conj det:art n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",119.45,113.112,"s",3,"Eng-NA",11,"eng","Rollins"
"50",3088808,4858,52,6947,68,"look",1,"look","co","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",120.491,119.45,"s",3,"Eng-NA",1,"eng","Rollins"
"51",3088821,4858,53,6947,68,"see",1,"see","v","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",121.72,120.492,"s",3,"Eng-NA",1,"eng","Rollins"
"52",3088835,4858,54,6947,68,"you want to see if it fits in your mouth",10,"you want to see if it fit in your mouth","pro:per v inf v conj pro:per v prep det:poss n","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",126.491,124.756,"s",3,"Eng-NA",11,"eng","Rollins"
"53",3088884,4858,55,6947,68,"is that what you want to see",7,"be that what you want to see","cop pro:dem pro:int pro:per v inf v","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",127.593,126.49,"s",3,"Eng-NA",8,"eng","Rollins"
"54",3088933,4858,56,6947,68,"oh that's too big",4,"oh that too big","co pro:dem adv adj","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",129.56,127.727,"s",3,"Eng-NA",5,"eng","Rollins"
"55",3088959,4858,57,6947,68,"what do you know",4,"what do you know","pro:int mod pro:per v","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",130.961,129.558,"s",3,"Eng-NA",4,"eng","Rollins"
"56",3088982,4858,58,6947,68,"you want to hold it like that",7,"you want to hold it like that","pro:per v inf v pro:per co pro:dem","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",147.646,145.344,"s",3,"Eng-NA",7,"eng","Rollins"
"57",3089042,4858,60,6947,68,"whoop",1,"whoop","co","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",149.899,147.646,"s",3,"Eng-NA",1,"eng","Rollins"
"58",3089056,4858,61,6947,68,"here",1,"here","adv","MOT",NA,"Mother",4857,3.00006160290766,NA,"male","declarative",151.319,149.9,"s",3,"Eng-NA",1,"eng","Rollins"
