"","id","speaker_id","utterance_order","transcript_id","corpus_id","gloss","num_tokens","stem","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_id","target_child_age","target_child_name","target_child_sex","type","media_end","media_start","media_unit","collection_id","collection_name","num_morphemes","language","corpus_name"
"1",1819620,3281,1,5304,48,"play with that for like about ten minutes",8,"play with that for like about ten minute","n prep pro:dem prep co prep det:num n","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"2",1819665,3281,2,5304,48,"I'll stop you after in a while",7,"I stop you in a while","pro:sub v pro:per prep det:art n","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",7,"eng","HSLLD"
"3",1819702,3278,3,5304,48,"do I get to play or just her",8,"do I get to play or just her","mod pro:sub v prep n coord adv pro:obj","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",8,"eng","HSLLD"
"4",1819743,3281,4,5304,48,"oh yeah",2,"oh yeah","co co","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"5",1819760,3281,5,5304,48,"both of you",3,"both of you","qn prep pro:per","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"6",1819786,3281,6,5304,48,"that's something you guys can do together",7,"that something you guy can do together","pro:dem pro:indef pro:per n mod v adv","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"7",1819827,3281,7,5304,48,"oh yeah",2,"oh yeah","co co","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"8",1819845,3278,8,5304,48,"xxx",1,"","","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
"9",1819859,3278,9,5304,48,"want me to move this",5,"want me to move this","v pro:obj inf v pro:dem","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",5,"eng","HSLLD"
"10",1819952,3278,11,5304,48,"now why would you want to do that to my son",11,"now why will you want to do that to my son","adv adv:int mod pro:per v inf v pro:dem prep det:poss n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",12,"eng","HSLLD"
"11",1820021,3278,13,5304,48,"www",1,"","","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
"12",1820058,3278,16,5304,48,"no what",2,"no what","co pro:int","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"13",1820102,3278,18,5304,48,"oh here's another one on the turtle",7,"oh here another one on the turtle","co pro:exist qn pro:indef prep det:art n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",8,"eng","HSLLD"
"14",1820148,3278,19,5304,48,"you want the one on the turtle",7,"you want the one on the turtle","pro:per v det:art pro:indef prep det:art n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",7,"eng","HSLLD"
"15",1820198,3278,21,5304,48,"he's going for a ride",5,"he go for a ride","pro:sub part prep det:art n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",7,"eng","HSLLD"
"16",1820226,3278,22,5304,48,"",0,"","","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
"17",1820231,3278,23,5304,48,"xxx in the middle",4,"in the middle","prep det:art n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"18",1820268,3278,25,5304,48,"hey watch out",3,"hey watch out","co v adv","MOT",NA,"Mother",3276,141.889977206924,NA,"female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"19",1820289,3278,26,5304,48,"there's a storm coming",4,"there a storm come","pro:exist det:art n part","MOT",NA,"Mother",3276,141.889977206924,NA,"female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",6,"eng","HSLLD"
"20",1820315,3278,27,5304,48,"xxx this",2,"this","pro:dem","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"21",1820336,3278,28,5304,48,"oh it's xxx",3,"oh it","co pro:per","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"22",1820359,3278,29,5304,48,"okay",1,"okay","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"23",1820370,3278,30,5304,48,"xxx",1,"","","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
"24",1820390,3278,31,5304,48,"xxx hold up",3,"hold up","v adv","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"25",1820413,3278,32,5304,48,"need this one",3,"need this one","v pro:dem pro:indef","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"26",1820446,3278,34,5304,48,"the flying turtle",3,"the fly turtle","det:art part n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",4,"eng","HSLLD"
"27",1820466,3278,35,5304,48,"okay",1,"okay","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"28",1820479,3278,36,5304,48,"you didn't look at my flying turtle",7,"you do look at my fly turtle","pro:per mod v prep det:poss part n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",10,"eng","HSLLD"
"29",1820504,3278,37,5304,48,"look at my flying turtle",5,"look at my fly turtle","v prep det:poss part n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",6,"eng","HSLLD"
"30",1820554,3278,39,5304,48,"see",1,"see","v","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"31",1820584,3278,41,5304,48,"xxx",1,"","","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
"32",1820591,3278,42,5304,48,"I mean this is a heavy one",7,"I mean this be a heavy one","pro:sub v pro:dem cop det:art adj pro:indef","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",8,"eng","HSLLD"
"33",1820621,3278,43,5304,48,"it picks up everything",4,"it pick up everything","pro:per v prep pro:indef","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",5,"eng","HSLLD"
"34",1820659,3278,46,5304,48,"oh look at Wanda",4,"oh look at Wanda","co v prep n:prop","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",4,"eng","HSLLD"
"35",1820682,3278,47,5304,48,"okay this is gonna stay up here this time",9,"okay this be gonna stay up here this time","co pro:dem cop mod:aux cop adv adv pro:dem n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",10,"eng","HSLLD"
"36",1820733,3278,49,5304,48,"look xxx",2,"look","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"37",1820754,3278,51,5304,48,"Chi",1,"Chi","n:prop","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"38",1820767,3278,52,5304,48,"alright here's the launching pad for the station",8,"alright here the launch pad for the station","co pro:exist det:art part n prep det:art n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",10,"eng","HSLLD"
"39",1820795,3281,53,5304,48,"okay",1,"okay","co","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"40",1820804,3281,54,5304,48,"that's great",2,"that great","pro:dem adj","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"41",1820819,3281,55,5304,48,"thank you very much",4,"thank you very much","v pro:per adv qn","INV",NA,"Investigator",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",4,"eng","HSLLD"
"42",1838155,3278,1,5406,48,"okay the tape is rolling guys",6,"okay the tape be roll guy","co det:art n aux part n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"43",1838165,3278,2,5406,48,"let's act like we have some common sense",8,"let act like we have some common sense","v v co pro:sub v qn adj n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"44",1838192,3292,3,5406,48,"mommy why you have_to have a recorder on",8,"mommy why you have_to have a record on","n adv:int pro:per mod:aux v det:art n prep","BRO",NA,"Brother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",10,"eng","HSLLD"
"45",1838211,3278,4,5406,48,"because it's for Chi's project with Harvard",7,"because it for Chi project with Harvard","conj pro:per prep n:prop n prep n:prop","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"46",1838225,3278,5,5406,48,"and they want to see how families have dinner together",10,"and they want to see how family have dinner together","coord pro:sub v inf v adv:int n v n adv","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",11,"eng","HSLLD"
"47",1838248,3278,6,5406,48,"Chi get your elbows off the table please",8,"Chi get your elbow off the table please","n:prop v det:poss n prep det:art n co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"48",1838277,3278,8,5406,48,"Bro please don't crunch like that",6,"Bro please do crunch like that","n:prop co mod v prep pro:dem","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",7,"eng","HSLLD"
"49",1838293,3292,9,5406,48,"xxx",1,"","","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
"50",1838299,3278,10,5406,48,"so tomorrow you're staying after school correct",7,"so tomorrow you stay after school correct","adv adv:tem pro:per part prep n adj","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"51",1838308,3292,11,5406,48,"yup",1,"yup","co","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"52",1838313,3278,12,5406,48,"yes",1,"yes","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"53",1838323,3278,14,5406,48,"why",1,"why","adv:int","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"54",1838327,3278,15,5406,48,"why you staying",3,"why you stay","adv:int pro:per part","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",4,"eng","HSLLD"
"55",1838334,3292,16,5406,48,"for basketball practice",3,"for practice","prep n","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"56",1838344,3278,17,5406,48,"and",1,"and","coord","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"57",1838351,3278,18,5406,48,"where are you going first",5,"where be you go first","adv:int aux pro:per part adv","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",7,"eng","HSLLD"
"58",1838360,3278,19,5406,48,"precious",1,"precious","adj","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"59",1838362,3292,20,5406,48,"oh um help",3,"oh help","co co","BRO",NA,"Brother",3276,141.889977206924,NA,"female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"60",1838369,3278,21,5406,48,"where",1,"where","adv:int","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"61",1838375,3292,22,5406,48,"extra help",2,"extra help","adj co","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"62",1838383,3278,23,5406,48,"where",1,"where","adv:int","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"63",1838387,3292,24,5406,48,"Wednesday",1,"Wednesday","n:prop","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"64",1838403,3292,26,5406,48,"Wednesday is social studies",4,"Wednesday be social study","n:prop cop adj n","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",6,"eng","HSLLD"
"65",1838420,3278,28,5406,48,"okay then Thursday you're going to",6,"okay then Thursday you go to","co adv:tem n:prop pro:per part inf","MOT",NA,"Mother",3276,141.889977206924,NA,"female","interruption",NA,NA,NA,3,"Eng-NA",8,"eng","HSLLD"
"66",1838433,3292,29,5406,48,"math",1,"math","n","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"67",1838441,3278,30,5406,48,"math",1,"math","n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"68",1838444,3278,31,5406,48,"and you're staying for what",5,"and you stay for what","coord pro:per part prep pro:int","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",7,"eng","HSLLD"
"69",1838459,3278,33,5406,48,"so when you come home your home+work will be done",10,"so when you come home your will be do","co conj pro:per v adv det:poss mod aux part","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",10,"eng","HSLLD"
"70",1838510,3278,35,5406,48,"okay",1,"okay","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"71",1838525,3278,37,5406,48,"and you're going to um you're going to get your hair done Friday",13,"and you go to you go to get your hair do Friday","coord pro:per part inf pro:per part inf v det:poss n part n:prop","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",17,"eng","HSLLD"
"72",1838560,3278,39,5406,48,"Bro please stop crunching",4,"Bro please stop crunch","n:prop co n part","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",5,"eng","HSLLD"
"73",1838569,3278,40,5406,48,"close your mouth",3,"close your mouth","v det:poss n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"74",1838579,3278,41,5406,48,"oh pass me another one of those pork chops please",10,"oh pass me another one of those pork chop please","co v pro:obj qn pro:indef prep pro:dem n n co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",11,"eng","HSLLD"
"75",1838602,3292,42,5406,48,"here",1,"here","adv","BRO",NA,"Brother",3276,141.889977206924,NA,"female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"76",1838616,3278,44,5406,48,"Chi is that too many potatoes on your plate",9,"Chi be that too many potato on your plate","n:prop cop pro:dem adv qn n prep det:poss n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",11,"eng","HSLLD"
"77",1838641,3278,46,5406,48,"okay",1,"okay","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"78",1838650,3292,47,5406,48,"mhm",1,"yes","co","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"79",1838662,3278,49,5406,48,"what happened",2,"what happen","pro:int v","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"80",1838694,3278,51,5406,48,"oh that's great",3,"oh that great","co pro:dem adj","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",4,"eng","HSLLD"
"81",1838704,3278,52,5406,48,"you're alright",2,"you alright","pro:per adj","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",3,"eng","HSLLD"
"82",1838713,3278,53,5406,48,"let me see it",4,"let me see it","v pro:obj v pro:per","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",5,"eng","HSLLD"
"83",1838733,3278,55,5406,48,"okay",1,"okay","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"84",1838742,3292,57,5406,48,"xxx xxx",2,"","","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
"85",1838751,3292,58,5406,48,"xxx xxx",2,"","","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
"86",1838762,3278,59,5406,48,"please",1,"please","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"87",1838767,3292,60,5406,48,"please",1,"please","co","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"88",1838776,3278,61,5406,48,"so what do you think about Gianna",7,"so what do you think about Gianna","adv pro:int mod pro:per v prep n:prop","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",7,"eng","HSLLD"
"89",1838792,3278,62,5406,48,"ain't she look like a little butter+ball turkey",8,"be she look like a little turkey","v pro:sub v prep det:art adj n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"90",1838829,3292,65,5406,48,"got too much hair",4,"get too much hair","v adv qn n","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",5,"eng","HSLLD"
"91",1838840,3278,66,5406,48,"she has too much hair",5,"she have too much hair","pro:sub aux adv qn n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","question",NA,NA,NA,3,"Eng-NA",6,"eng","HSLLD"
"92",1838854,3292,67,5406,48,"has too much hair",4,"have too much hair","aux adv qn n","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",5,"eng","HSLLD"
"93",1838866,3278,68,5406,48,"girls don't have too much hair",6,"girl do have too much hair","n mod v adv qn n","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",8,"eng","HSLLD"
"94",1838907,3292,70,5406,48,"do",1,"do","v","BRO",NA,"Brother",3276,141.889977206924,NA,"female","imperative_emphatic",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"95",1838911,3292,71,5406,48,"you xxx give some up",5,"you give some up","pro:per v qn adv","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",4,"eng","HSLLD"
"96",1838940,3292,74,5406,48,"there are plenty of bald people needing some hair",9,"there be plenty of bald person need some hair","adv cop adv prep adj n part qn n","BRO",NA,"Brother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",12,"eng","HSLLD"
"97",1838958,3278,76,5406,48,"maybe we can fill a little bit of it",9,"maybe we can fill a little bit of it","adv pro:sub mod v det:art adj n prep pro:per","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"98",1838987,3278,78,5406,48,"when you have a job a full time job and you can take care of it yourself",17,"when you have a full time job and you can take care of it yourself","conj pro:per v det:art adj n n coord pro:per mod v n prep pro:per pro:refl","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",15,"eng","HSLLD"
"99",1839047,3278,80,5406,48,"okay",1,"okay","co","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"100",1839065,3278,82,5406,48,"xxx a good job until you're about twenty something you can't live here",13,"a good job until you about twenty something you can live here","det:art adj n conj pro:per adv det:num pro:indef pro:per mod v adv","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",14,"eng","HSLLD"
"101",1839084,3278,83,5406,48,"",0,"","","MOT",NA,"Mother",3276,141.889977206924,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",NA,"eng","HSLLD"
